"Câu hỏi","Đáp án A","Đáp án B","Đáp án C","Đáp án D","Đáp án đúng"
"Câu 1: Trong khoa học Trí tuệ nhân tạo, hoạt động nào sau đây thuộc về bài toán của CNTT truyền thống chứ không phải của TTNT?","Quản lý, tính toán","Sửa chữa, chẩn đoán","Hoạt động sáng tạo","Xử lý tri thức","A"
"Câu 2: Quá trình giải quyết vấn đề (GQVĐ) bao gồm các yếu tố cốt lõi nào?","Cần gì, Có gì/Biết gì, Cơ chế, Ràng buộc","Dữ liệu, Lệnh, Bộ nhớ, Vi xử lý","Trạng thái, Cảm biến, Môi trường, Kích hoạt","Bài toán con, Đồ thị, Cây nghiệm, Trọng số","A"
"Câu 3: Trong mô hình xử lý thông tin của con người, thành phần nào đóng vai trò thực hiện chu trình 'nhận dạng – hành động' (match-execute) giống như CPU?","Hệ thống cảm nhận (Vùng đệm)","Bộ nhớ dài hạn","Bộ xử lý nhận thức","Cơ quan hành động","C"
"Câu 4: Tri thức trong bộ nhớ dài hạn của con người được tổ chức và lưu trữ dưới dạng nào?","Bảng cơ sở dữ liệu quan hệ","Các 'bó' thông tin theo dạng phân cấp","Danh sách liên kết đơn","Cây nhị phân tìm kiếm","B"
"Câu 5: Con người sử dụng 4 chiến lược cơ bản để giải quyết vấn đề. Chiến lược 'Tìm cách chia bài toán lớn phức tạp thành các bài toán con' là chiến lược số mấy?","Chiến lược 1","Chiến lược 2","Chiến lược 3","Chiến lược 4","C"
"Câu 6: Nới lỏng một vài ràng buộc thuộc chiến lược giải quyết vấn đề nào của con người?","Chiến lược 1","Chiến lược 2","Chiến lược 3","Chiến lược 4","B"
"Câu 7: Một vấn đề được gọi là 'phát biểu chỉnh' (Well-defined) khi thỏa mãn điều kiện nào sau đây?","Đích đặt ra không tường minh","Không gian bài toán (KGBT) vô hạn","Đích được đặt ra rõ ràng, biết trạng thái ban đầu và xác định được các thao tác","Không có ràng buộc về mặt thời gian","C"
"Câu 8: Không gian bài toán (KGBT) của vấn đề 'phát biểu không chỉnh' có đặc điểm gì?","Rời rạc hoặc vô hạn, thao tác không được chỉ ra rõ ràng","Nhỏ gọn và tuyến tính","Không chứa trạng thái đích","Luôn giải quyết được bằng hàm đa thức","A"
"Câu 9: Theo cách tiếp cận của TTNT, một 'Chương trình' được cấu thành từ hai yếu tố nào?","Cấu trúc dữ liệu + Giải thuật","Tri thức + Suy diễn","Input + Output","Cảm biến + Môi trường","B"
"Câu 10: Để giải quyết vấn đề bằng Không gian trạng thái (State Space), chúng ta cần xác định những thành phần nào?","Dữ liệu và Mã nguồn","Trạng thái ban đầu, trạng thái đích và các toán tử","Bộ nhớ ngắn hạn và dài hạn","Cấu trúc AND và OR","B"
"Câu 11: Trong lý thuyết đồ thị biểu diễn bài toán, độ dài đường đi p = n1, n2,..., nk được tính bằng bao nhiêu?","k","k - 1","k + 1","k^2","B"
"Câu 12: Khi biểu diễn một vấn đề trong Không gian trạng thái, 'Toán tử' (Operator) có vai trò gì?","Đánh giá độ tốt của trạng thái","Mô tả hành động/phép biến đổi đưa một trạng thái tới trạng thái khác","Lưu trữ lịch sử tìm kiếm","Lưu vết đường đi ngắn nhất","B"
"Câu 13: Chiến lược tìm kiếm nào sau đây không có sự hướng dẫn nào cho việc tìm kiếm?","Tìm kiếm heuristic","Tìm kiếm mù (Blind search)","Tìm kiếm leo đồi","Thuật toán A*","B"
"Câu 14: Trong thuật toán Tìm kiếm theo chiều rộng (BFS), trạng thái mới v sinh ra từ u sẽ được đưa vào vị trí nào của danh sách L?","Đặt vào đầu danh sách L","Đặt vào giữa danh sách L","Đặt vào cuối danh sách L","Sắp xếp dựa trên hàm đánh giá","C"
