"Câu hỏi","Đáp án A","Đáp án B","Đáp án C","Đáp án D","Đáp án đúng"
"Câu 1: Theo định nghĩa trong tài liệu, một tác tử (agent) là bất cứ thứ gì cảm nhận môi trường quanh nó thông qua thành phần nào?","Các bộ kích hoạt","Các cảm biến","Các bộ nhớ","Các hàm đánh giá","B"
"Câu 2: Hệ thống gồm nhiều tác tử độc lập, tương tác với nhau để giải quyết một vấn đề chung được gọi là gì?","Đơn tác tử","Đa tác tử (multi-agent)","Siêu tác tử","Tác tử mạng","B"
"Câu 3: Trong ví dụ về con người như một tác tử, mắt và tai đóng vai trò là thành phần nào?","Bộ kích hoạt","Cảm biến","Môi trường","Hàm đánh giá","B"
"Câu 4: Hàm tác tử (f) thực hiện ánh xạ từ đâu tới đâu?","Từ tập cảm nhận (percepts) trong quá khứ tới hành động (actions) tương ứng","Từ hành động trong quá khứ tới tập cảm nhận tương ứng","Từ môi trường hiện tại tới đích cần đạt","Từ cơ sở tri thức tới các điều kiện lôgíc","A"
"Câu 5: Nhược điểm lớn nhất của 'Chương trình tác tử dựa trên bảng điều khiển' là gì?","Không thể hoạt động trong môi trường tĩnh","Tốc độ xử lý quá nhanh làm mất dữ liệu","Sự bùng nổ kích thước của bảng table","Không thể kết nối với các cảm biến","C"
"Câu 6: Khi thiết kế một tác tử, 4 yếu tố PEAS cần xem xét là viết tắt của những từ nào?","Program, Environment, Actuator, Sensor","Performance measure, Environment, Actuator, Sensor","Process, Environment, Action, State","Perception, Evaluation, Action, Sensor","B"
"Câu 7: Trong PEAS của tác tử lọc thư rác, 'tỷ lệ phân loại sai' thuộc về yếu tố nào?","Performance measure (Hàm đo hiệu năng)","Environment (Môi trường)","Actuator (Bộ kích hoạt)","Sensor (Cảm biến)","A"
"Câu 8: Bộ kích hoạt (Actuator) của người máy Aishimo là thành phần nào?","Camera","Bộ dò đường hồng ngoại","Mô tơ","Bảng mạch điện tử","C"
"Câu 9: Một tác tử được gọi là 'tự trị' (autonomous) khi hành vi của nó được xác định bởi điều gì?","Lệnh điều khiển trực tiếp từ con người","Bảng trạng thái lập trình sẵn","Kinh nghiệm của chính bản thân nó (với khả năng học và thích nghi)","Cơ sở dữ liệu chia sẻ từ các tác tử khác","C"
"Câu 10: Trong đặc điểm của môi trường, 'Tính xác định được' có nghĩa là gì?","Tác tử có thể nhìn thấy toàn bộ môi trường","Trạng thái tiếp theo của môi trường hoàn toàn xác định được dựa trên trạng thái hiện tại và hành động của tác tử","Môi trường không bao giờ thay đổi trong lúc tác tử hoạt động","Môi trường có thể được biểu diễn bằng các con số rời rạc","B"
