"Câu hỏi","Đáp án A","Đáp án B","Đáp án C","Đáp án D","Đáp án đúng"
"Hiện tượng lỗi chùm (Burst error) trên kênh truyền dẫn dữ liệu được định nghĩa như thế nào?","Là tình trạng máy phát gửi dữ liệu với tốc độ quá lớn khiến bộ đệm của máy thu bị tràn và đánh rơi hàng loạt khung tin.","Là việc chỉ có duy nhất một bit trong khung dữ liệu bị đảo ngược giá trị từ 0 thành 1 hoặc ngược lại do lỗi phần cứng.","Là sự cố đứt gãy hoàn toàn của sợi cáp quang dẫn đến toàn bộ gói dữ liệu bị phá hủy và không thể khôi phục tại máy thu.","Là hiện tượng có từ 2 bit dữ liệu trở lên bị sai lệch trạng thái trong một đơn vị dữ liệu do các nhiễu tác động kéo dài.","D"
"Nguyên nhân vật lý chủ yếu nào sau đây thường gây ra hiện tượng lỗi chùm (Burst error) trong mạng máy tính?","Do các nhiễu xung (Impulse noise) như tia sét hoặc sự bật tắt các thiết bị điện có công suất lớn tạo ra đột ngột.","Do tốc độ quay của ổ cứng máy chủ lưu trữ quá chậm khiến việc trích xuất các bit dữ liệu bị trễ nhịp.","Do bộ vi xử lý của thiết bị định tuyến trung tâm bị quá nhiệt dẫn đến tính toán sai số kiểm tra chẵn lẻ.","Do người dùng cố tình chèn thêm các đoạn mã độc vào phần đầu của gói tin nhằm vượt qua hệ thống tường lửa.","A"
"Phương pháp kiểm tra chẵn lẻ dọc VRC (Vertical Redundancy Check) hoạt động dựa trên nguyên tắc cơ bản nào?","Chuyển đổi từng bit 0 thành điện áp âm và bit 1 thành điện áp dương để triệt tiêu hoàn toàn các bức xạ từ trường gây nhiễu.","Bổ sung thêm một bit kiểm tra (Parity bit) vào mỗi khối dữ liệu sao cho tổng số lượng bit 1 trong toàn khối là một số chẵn (hoặc lẻ).","Tạo ra ba bản sao giống hệt nhau cho mỗi byte dữ liệu trước khi gửi đi để máy thu tiến hành so sánh theo nguyên tắc biểu quyết.","Mã hóa toàn bộ khối dữ liệu thành một số nguyên lớn và chia cho một đa thức sinh chuẩn để lấy phần dư nối vào cuối gói tin.","B"
"Hệ thống sử dụng Kiểm tra chẵn lẻ chẵn (Even Parity). Cho chuỗi dữ liệu gốc là 1011001, bit kiểm tra VRC cần thêm vào là gì?","Thêm bit 0 (Vì tổng số lượng bit 0 trong chuỗi gốc đang là 3, thêm 0 để thành số chẵn).","Thêm bit 1 (Bởi vì độ dài của chuỗi dữ liệu là 7 bit, bắt buộc phải chèn thêm 1 bit đánh dấu).","Thêm bit 0 (Vì chuỗi gốc đã có sẵn 4 bit 1, thêm 0 để tổng số bit 1 vẫn là số chẵn).","Thêm bit 1 (Vì chuỗi gốc đang có 4 bit 1, thêm 1 để nâng tổng số bit 1 lên thành 5).","C"
"Nhược điểm chí mạng của phương pháp kiểm tra chẵn lẻ VRC (Parity check) là gì?","Gây lãng phí băng thông nghiêm trọng do phải gửi thêm một khối dữ liệu kiểm tra có kích thước lớn gấp đôi dữ liệu gốc.","Hoàn toàn không thể phát hiện được lỗi nếu số lượng bit bị sai trong cùng một đơn vị dữ liệu là một số chẵn (2, 4, 6...).","Bắt buộc máy phát và máy thu phải sử dụng chung một hệ điều hành và phần cứng mạng tương thích tuyệt đối với nhau.","Thuật toán tính toán cực kỳ phức tạp làm tiêu tốn quá nhiều năng lượng CPU của các thiết bị định tuyến lõi.","B"
"Thuật toán phát hiện lỗi CRC (Cyclic Redundancy Check) sử dụng phép toán nào để tính toán phần dư?","Sử dụng phép chia đa thức dựa trên nền tảng toán học của hệ thống số học Modulo-2 (Phép toán XOR nhị phân).","Sử dụng phép nhân ma trận đa chiều để biến đổi chuỗi dữ liệu thành một mảng vector bất biến trước khi truyền.","Sử dụng thuật toán băm mật mã SHA-256 để tạo ra một chuỗi chữ ký điện tử duy nhất định danh cho từng gói tin.","Sử dụng phép cộng đại số thông thường và bù 1 để đảo ngược trạng thái của toàn bộ chuỗi bit tại trạm nhận.","A"
"Trong phương pháp CRC, nếu đa thức sinh G(x) có bậc là r, thì số lượng bit của phần dư (FCS) nối thêm vào dữ liệu gốc sẽ là bao nhiêu?","Số lượng bit phần dư FCS sẽ bằng r + 1 bit.","Số lượng bit phần dư FCS sẽ đúng bằng r bit.","Số lượng bit phần dư FCS sẽ bằng 2^r bit.","Số lượng bit phần dư FCS sẽ luôn luôn bằng 8 bit.","B"
"Bài tập CRC: Cho khung dữ liệu D = 1101, đa thức sinh G = 101 (tương ứng bậc 2). Chuỗi bit nào sau đây sẽ được truyền đi trên mạng?","110111 (Thêm 2 số 0 thành 110100, chia XOR cho 101 được dư 11, ghép vào thành 110111).","110110 (Thêm 2 số 0 thành 110100, chia đại số cho 101 được dư 10, ghép vào thành 110110).","110100 (Không cần cộng thêm phần dư vì đa thức sinh 101 chỉ đóng vai trò mã hóa bảo mật).","110101 (Thêm 2 số 0 thành 110100, chia XOR cho 101 được dư 01, ghép vào thành 110101).","D"
"Làm thế nào máy thu trong hệ thống CRC xác định được gói dữ liệu nhận được có bị lỗi hay không?","Máy thu sử dụng bộ mã hóa lượng tử để đếm tổng số bit 1, nếu khác với thông tin ghi trong phần Header thì báo lỗi.","Máy thu thực hiện phép nhân đa thức giữa gói tin và G(x), nếu kết quả lớn hơn 1 thì xác nhận dữ liệu đã bị biến dạng.","Máy thu lấy toàn bộ gói tin nhận được (dữ liệu + FCS) chia Modulo-2 cho đa thức sinh G, nếu phần dư khác 0 tức là có lỗi.","Máy thu sẽ tự động gửi trả lại toàn bộ gói tin cho máy phát để máy phát tự thực hiện việc kiểm tra đối chiếu bit to bit.","C"
"Để thuật toán CRC có thể phát hiện được TẤT CẢ các lỗi số bit lẻ (1, 3, 5... bit sai), đa thức sinh G(x) bắt buộc phải có tính chất gì?","Đa thức sinh G(x) phải luôn bắt đầu bằng hệ số 0 và kết thúc bằng hệ số 0 để cân bằng chẵn lẻ.","Đa thức sinh G(x) bắt buộc phải là một số nguyên tố trong hệ cơ số thập phân để không thể chia hết.","Đa thức sinh G(x) phải có bậc lớn hơn hoặc bằng tổng số lượng bit của toàn bộ gói dữ liệu gốc.","Đa thức sinh G(x) bắt buộc phải chứa một thừa số là (x + 1) trong thành phần biểu thức của nó.","D"
"Phương pháp kiểm tra tổng Checksum thường được ứng dụng ở lớp nào trong mô hình TCP/IP?","Là cơ chế phát hiện lỗi duy nhất của giao thức HTTP chạy trên nền tảng lớp Ứng dụng web.","Được sử dụng rất phổ biến ở các giao thức lớp Giao vận (như TCP, UDP) và lớp Mạng (như tiêu đề IP).","Được tích hợp trực tiếp vào trong cấu trúc phần cứng của card mạng không dây chuẩn Wi-Fi 802.11.","Chỉ được áp dụng độc quyền tại lớp Vật lý để sửa chữa các sai lệch do nhiễu nhiệt trên dây cáp quang.","B"
"Bài tập Checksum: Ở máy phát cần gửi 2 byte dữ liệu: 10101010 và 01010101. Tính tổng Checksum 8-bit theo phép cộng bù 1?","Checksum = 01010101 (Checksum sẽ tự động lấy giá trị của byte thứ hai nếu byte đầu có nhiều số 1).","Checksum = 00000000 (Tổng 2 byte là 11111111, phép bù 1 sẽ đảo ngược tất cả các bit thành 00000000).","Checksum = 11111111 (Tổng 2 byte là 11111111, thuật toán giữ nguyên kết quả cộng làm checksum).","Checksum = 10101010 (Checksum sẽ tự động lấy giá trị của byte đầu tiên để làm nhãn nhận diện khung).","B"
"Máy thu kiểm tra tính toàn vẹn bằng Checksum như thế nào?","Chia tổng đại số của các byte dữ liệu cho số lượng byte, nếu số dư lớn hơn 0 thì yêu cầu máy phát phải gửi lại từ đầu.","Loại bỏ trường Checksum khỏi khung tin, sau đó truyền ngược phần dữ liệu gốc lên vệ tinh để xác thực chéo với máy chủ nguồn.","Cộng tất cả các đoạn dữ liệu (bao gồm cả giá trị Checksum nhận được) theo bù 1, nếu kết quả cuối cùng ra toàn bit 0 (đã bù) thì không lỗi.","Thực hiện phép toán XOR giữa dữ liệu và Checksum, nếu xuất hiện bất kỳ bit 1 nào thì gói tin được đánh giá là an toàn tuyệt đối.","C"
"Khái niệm Sửa lỗi tiến FEC (Forward Error Correction) có nghĩa là gì?","Máy phát chỉ mã hóa những dữ liệu quan trọng nhất và loại bỏ hoàn toàn các bit kiểm tra lỗi để tăng tốc độ tiến lên phía trước.","Máy phát gửi kèm một lượng lớn các bit dư thừa có tính toán để máy thu tự phát hiện và TỰ CHỈNH SỬA các bit lỗi mà không cần truyền lại.","Khi phát hiện lỗi, máy thu ngay lập tức gửi tín hiệu cảnh báo khẩn cấp (NAK) yêu cầu máy phát lập tức truyền lại gói tin.","Hệ thống sẽ dự đoán trước các lỗi có thể xảy ra do thời tiết để tự động giảm tốc độ Baud nhằm duy trì kết nối mạng.","B"
